mesh_id	disease
MESH:D012164	retinopathy
MESH:D002869	NA
MESH:D003872	dermatitis
MESH:D014657	vasculitis
MESH:D002357	cartilage
MESH:D008171	lung disease
MESH:D014202	tremor
MESH:D001724	NA
MESH:C537366	ML
MESH:D005921	glomerulonephritis
MESH:D000077192	lung adenocarcinoma
MESH:D007035	hypothermia
MESH:D006417	hematuria
MESH:D007775	lactation
MESH:D048909	NA
MESH:D004660	encephalitis
MESH:D007674	renal disease
MESH:D006330	NA
MESH:D018754	ventricular dysfunction
MESH:D006259	head injury
MESH:D028361	mitochondrial dysfunction
MESH:D007333	NA
MESH:D016301	bone loss
MESH:D000402	obstruction
MESH:C580065	episodic
MESH:D004646	emphysema
MESH:D001714	bipolar disorder
MESH:D002289	non-small cell lung cancer
MESH:D014552	urinary tract infection
MESH:D010534	peritonitis
MESH:D003128	coma
MESH:D002312	ventricular hypertrophy
MESH:D006223	CD
MESH:C536439	endothelial dysfunction
MESH:D006849	hydrocephalus
MESH:D012817	gastrointestinal symptoms
MESH:D054198	acute lymphoblastic leukemia
MESH:D010518	periodontitis
MESH:C536227	hematopoiesis
MESH:D000015	NA
MESH:D010523	peripheral neuropathy
MESH:D003876	atopic dermatitis
MESH:D017202	NA
MESH:D009101	multiple myeloma
MESH:D012080	CKD
MESH:D034721	systemic disease
MESH:D016757	sudden cardiac death
MESH:D002547	cerebral palsy
MESH:D011251	NA
MESH:D009437	neuropathic pain
MESH:D006461	hemolysis
MESH:D009389	NA
MESH:C538614	renal cell carcinoma
MESH:D009784	NA
MESH:D007951	myeloid leukemia
MESH:D003922	NA
OMIM:176500	British Columbia
MESH:D008881	migraine
MESH:D054058	acute coronary syndrome
MESH:D003428	NA
MESH:D013575	syncope
MESH:D013203	NA
MESH:D002292	NA
MESH:D001161	NA
MESH:D006547	hernia
MESH:D016491	peripheral vascular disease
MESH:D000690	amyotrophic lateral sclerosis
MESH:D059350	chronic pain
MESH:D003251	stenosis
MESH:D000789	unstable angina
MESH:D000014	malformations
MESH:D003928	diabetic nephropathy
MESH:D013530	NA
MESH:D007964	leukocytosis
MESH:D001259	ataxia
MESH:D006258	neck cancer
MESH:D010996	pleural effusion
MESH:D005597	openness
MESH:D001778	coagulopathy
MESH:D012128	respiratory distress syndrome
MESH:D007431	NA
MESH:D014594	NA
MESH:D004630	NA
MESH:D009461	neurological deficits
MESH:D001991	bronchitis
MESH:D009894	opportunistic infections
MESH:D020388	BMD
MESH:D013163	splenomegaly
MESH:D002545	cerebral ischemia
MESH:D024821	NA
MESH:D002102	NA
MESH:D006987	numbness
MESH:D011654	pulmonary edema
MESH:D010031	otitis
MESH:D002311	dilated cardiomyopathy
MESH:D000236	adenoma
MESH:D013964	thyroid cancer
MESH:D005759	gastroenteritis
MESH:D002056	NA
MESH:D004938	esophageal cancer
MESH:D011537	pruritus
MESH:D012871	skin lesions
MESH:D063806	myalgia
MESH:D006527	Wilson
MESH:D065631	allergic rhinitis
MESH:D003693	delirium
MESH:D007232	NA
MESH:D044882	glucose metabolism
MESH:D002761	cholangitis
MESH:D006946	hyperinsulinemia
MESH:D011127	polyps
MESH:D007970	leukopenia
MESH:D020246	deep vein thrombosis
MESH:D012770	cardiogenic shock
MESH:D003638	deafness
MESH:D055371	acute lung injury
MESH:D008173	obstructive pulmonary disease
MESH:D006525	viral hepatitis
MESH:D057772	vascular injury
MESH:D005756	gastritis
MESH:D011475	NA
MESH:D016889	endometrial cancer
MESH:D006618	hip arthroplasty
MESH:D015470	acute myeloid leukemia
MESH:D050177	NA
MESH:D017088	NA
MESH:D060825	declines
MESH:D007039	AH
MESH:D004715	endometriosis
MESH:D011658	pulmonary fibrosis
MESH:D006980	hyperthyroidism
MESH:D000077195	neck squamous cell carcinoma
MESH:D012141	respiratory tract infections
MESH:D006967	NA
MESH:D015228	hypertriglyceridemia
MESH:D000077277	esophageal squamous cell carcinoma
MESH:D007251	NA
MESH:D002653	NA
MESH:D014766	viremia
MESH:D013923	thromboembolic
MESH:D004696	endocarditis
MESH:D012507	sarcoidosis
MESH:D000080902	nerve injury
MESH:D004617	embolism
MESH:D014605	uveitis
MESH:D010019	osteomyelitis
MESH:D011618	psychotic
MESH:D006961	hyperparathyroidism
MESH:D001037	aphasia
MESH:D010995	pleural
MESH:D052517	MSD
MESH:D007945	lymphocytic leukemia
MESH:D053609	lethargy
MESH:D014842	von
MESH:C538225	scalp
MESH:D001049	apnea
MESH:D014178	NA
MESH:D020300	intracranial hemorrhage
MESH:D004485	eczema
MESH:D018771	joint pain
MESH:D007235	NA
MESH:D011832	NA
MESH:D012135	wheezing
MESH:D054556	venous thromboembolism
MESH:D000138	acidosis
MESH:D001024	aortic stenosis
MESH:D012852	sinusitis
MESH:D012735	sexual abuse
MESH:D002543	ICH
MESH:D008569	Word
MESH:D012600	scoliosis
MESH:D000013	congenital anomalies
MESH:D005483	flushing
MESH:D020181	obstructive sleep apnea
MESH:D008228	non-Hodgkin's lymphoma
MESH:D009135	myopathy
MESH:D000419	albuminuria
MESH:D019337	hematologic malignancies
MESH:D009190	MDS
MESH:D006679	NA
MESH:D006471	gastrointestinal bleeding
MESH:D007172	erectile dysfunction
MESH:D009128	spasticity
MESH:D056128	abdominal obesity
MESH:D004314	NA
OMIM:143095	HSD
MESH:D013167	ankylosing spondylitis
MESH:D009404	nephrotic syndrome
MESH:D011297	NA
MESH:D005356	fibromyalgia
MESH:D012891	sleep apnea
MESH:D055752	small cell lung cancer
MESH:D009378	NA
MESH:D012595	systemic sclerosis
MESH:D019698	chronic hepatitis C
MESH:D012859	Sjogren's syndrome
MESH:D011225	NA
MESH:D004461	eclampsia
MESH:D000686	amyloidosis
MESH:C536778	SCD
MESH:D006620	hip fracture
MESH:D016481	NA
MESH:D009205	myocarditis
MESH:D006009	AMD
MESH:D006212	hallucinations
MESH:D058729	peripheral arterial disease
MESH:D000782	aneuploidy
MESH:D003930	NA
MESH:D006130	growth retardation
MESH:D018487	NA
MESH:D004198	NA
MESH:D012175	retinoblastoma
MESH:D001068	eating disorders
MESH:D012163	retinal detachment
MESH:D059352	musculoskeletal pain
MESH:D004204	dislocation
MESH:D002872	NA
MESH:D018149	impaired glucose tolerance
MESH:D004402	FD
MESH:C531604	visual loss
MESH:D000067877	autism spectrum disorder
MESH:D014581	urticaria
MESH:D003865	MDD
MESH:D044584	ductal carcinoma
MESH:D010510	periodontal disease
MESH:C536506	Glasgow Coma
MESH:D004681	autoimmune encephalomyelitis
MESH:D013345	subarachnoid hemorrhage
MESH:D006332	cardiac hypertrophy
MESH:D016584	panic disorder
MESH:D004283	NA
MESH:D000077216	epithelial ovarian cancer
MESH:D015451	chronic lymphocytic leukemia
MESH:D000856	anorexia nervosa
MESH:D013746	tetanus
MESH:D014693	ventricular fibrillation
MESH:D058625	chronic liver disease
MESH:D003560	NA
MESH:D009216	myopia
MESH:D009410	degeneration
MESH:D004927	NA
MESH:D014777	NA
MESH:D006934	hypercalcemia
MESH:D004802	eosinophilia
MESH:D009767	NA
MESH:D008231	lymphopenia
MESH:D006099	granuloma
MESH:D006529	hepatomegaly
MESH:D002295	NA
MESH:D009181	fungal infections
MESH:D003731	NA
MESH:D014474	loss of consciousness
MESH:D012818	respiratory symptoms
MESH:D012220	rhinitis
MESH:D009374	NA
MESH:D011470	benign prostatic hyperplasia
MESH:D000077274	nasopharyngeal carcinoma
MESH:D000031	abortion
MESH:D015140	vascular dementia
MESH:D016388	inability
MESH:D006073	gout
MESH:C537985	PDB ID
MESH:D001289	ADHD
MESH:D004211	intravascular coagulation
MESH:D009062	oral cancer
MESH:D023903	restenosis
MESH:D004172	diplopia
MESH:D008944	mitral regurgitation
MESH:D014652	NA
MESH:C537849	ND
MESH:D043183	irritable bowel syndrome
MESH:D019965	organ dysfunction
MESH:D004381	NA
MESH:D006313	sensorineural hearing loss
MESH:D010538	NA
MESH:D003711	demyelination
MESH:D006689	Hodgkin's disease
MESH:D001851	osteopenia
MESH:D005911	gliosis
MESH:D012216	rheumatic diseases
MESH:D007415	intestinal obstruction
MESH:D013290	NA
MESH:D007593	NA
MESH:D000568	amenorrhea
MESH:D012004	rectal cancer
MESH:D000077260	sleepiness
MESH:D014012	tinnitus
MESH:D020191	HRS
MESH:D008556	MRS
MESH:D016393	B-cell lymphoma
MESH:D004416	dysplastic
MESH:D052016	mucositis
MESH:D001064	appendicitis
MESH:D002481	cellulitis
MESH:D000038	NA
MESH:D021441	pancreatic ductal adenocarcinoma
MESH:D018804	hardness
MESH:D018281	cholangiocarcinoma
MESH:D006526	NA
MESH:D010859	pigmentation
MESH:D008286	malabsorption
MESH:D045169	SARS
MESH:D003231	conjunctivitis
MESH:D009102	organ failure
MESH:D009759	nystagmus
MESH:D010490	pericardial effusion
MESH:D002658	NA
MESH:C562463	pancreatic carcinoma
MESH:D011008	pneumococcal
MESH:D020512	CCD
MESH:D009133	muscle atrophy
MESH:C537863	falls
MESH:D000081029	pulmonary arterial hypertension
MESH:D012892	sleep deprivation
MESH:D001855	myelosuppression
MESH:D012030	error
MESH:D001157	NA
MESH:D010264	paraplegia
MESH:C562385	iron deficiency
MESH:D020966	atrophic
MESH:D016063	NA
MESH:D010291	hemiparesis
MESH:D011230	NA
MESH:D005776	GD
MESH:D013585	synovitis
MESH:D059787	acute infection
MESH:D013226	status epilepticus
MESH:D006935	hypercapnia
MESH:D006319	NA
MESH:D064806	dysbiosis
MESH:D066126	cardiotoxicity
MESH:D003490	cyanosis
MESH:D012749	NA
MESH:D009393	nephritis
MESH:D015427	ischemia-reperfusion injury
MESH:C535727	hepatosplenomegaly
MESH:D016640	gestational diabetes
MESH:D006111	Graves' disease
MESH:D010302	parkinsonism
MESH:D007822	NA
MESH:D013789	thalassemia
MESH:D009157	myasthenia gravis
MESH:D007918	leprosy
MESH:D000647	amnesia
MESH:D054059	occlusion
MESH:D014511	uremia
MESH:D000784	NA
MESH:D015535	psoriatic arthritis
MESH:D004421	dystonia
MESH:D002921	NA
MESH:D034141	hypoalbuminemia
MESH:D004415	dyspepsia
MESH:D020964	embryonic lethality
MESH:D015663	NA
MESH:D006940	hyperemia
MESH:D011472	prostate carcinoma
MESH:D007248	NA
MESH:D012893	sleep disorders
MESH:D020370	NA
MESH:D059246	tachypnea
MESH:D001265	NA
MESH:D004401	dysarthria
MESH:C565957	ALS
MESH:D011249	NA
MESH:D016778	falciparum malaria
MESH:D008579	NA
MESH:D055589	graft failure
MESH:D002340	NA
MESH:D007006	hypogonadism
MESH:D056487	chronic hepatitis
MESH:D006869	hydronephrosis
MESH:D008181	lupus nephritis
MESH:D005600	fragile
MESH:D004833	temporal lobe epilepsy
MESH:D014786	visual impairment
MESH:D019446	endotoxemia
MESH:D003925	NA
MESH:D004893	erythematous
MESH:D017544	abdominal aortic aneurysm
MESH:D012422	NA
MESH:D016609	NA
MESH:D005128	NA
MESH:D002779	cholestasis
MESH:D017699	pelvic pain
MESH:D017714	NA
MESH:D004670	California
MESH:D003286	contracture
MESH:C537147	Oklahoma
MESH:D017563	interstitial lung disease
MESH:D010198	pancytopenia
MESH:D008831	microcephaly
MESH:D012075	NA
MESH:D000310	NA
MESH:D065630	DH
MESH:D007859	learning algorithms
MESH:D005770	NA
MESH:D011704	pyelonephritis
MESH:D058495	haploinsufficiency
MESH:D000067073	psychological disorders
MESH:D005547	NA
MESH:D007008	hypokalemia
MESH:D018980	Williams
MESH:D053159	dysuria
MESH:D016403	NA
MESH:D005315	NA
MESH:D006932	hyperbilirubinemia
MESH:D016103	NA
OMIM:612348	active disease
MESH:D009059	mouth
MESH:D007010	hyponatremia
MESH:D007752	preterm labor
MESH:D012983	NA
MESH:C535742	ORCID iD
MESH:D019547	neck pain
MESH:D055948	sarcopenia
MESH:D009122	hypertonic
MESH:D025063	NA
MESH:D054990	idiopathic pulmonary fibrosis
MESH:D009123	hypotonia
MESH:D018288	SCLC
MESH:D002764	cholecystitis
MESH:C536678	SRS
MESH:D054144	diastolic dysfunction
MESH:D010673	pheochromocytoma
MESH:D011115	polyneuropathy
MESH:D014717	vertigo
MESH:D009748	NA
MESH:C535882	Johnson
MESH:D010014	osteolysis
MESH:D016920	bacterial meningitis
MESH:D015819	NA
MESH:D000022	NA
MESH:D012208	rhabdomyosarcoma
MESH:D001237	asphyxia
MESH:D012409	rubella
MESH:D006970	somnolence
MESH:D006349	valvular heart disease
MESH:D005354	fibrosarcoma
MESH:D013959	thyroid disease
MESH:D006429	hemiplegia
MESH:D006996	hypocalcemia
MESH:D011596	psychomotor
MESH:D012140	NA
MESH:D012552	schistosomiasis
MESH:D006344	atrial septal defect
MESH:D007405	NA
MESH:D020178	advanced disease
MESH:D002280	basal cell carcinoma
MESH:D014592	vaginal bleeding
MESH:D013118	myelopathy
MESH:D020271	neurological diseases
MESH:D018270	NA
MESH:D009771	obsessive-compulsive disorder
MESH:D002546	TIA
MESH:D000140	lactic acidosis
MESH:D004697	NA
MESH:D005902	open-angle glaucoma
MESH:D001997	bronchopulmonary dysplasia
MESH:D040921	traumatic stress disorder
MESH:D000743	hemolytic anemia
MESH:D013122	NA
MESH:D014987	dry mouth
MESH:D000741	aplastic anemia
MESH:D005512	NA
MESH:D001862	NA
MESH:D009303	NA
MESH:D007718	NA
MESH:C537501	SMD
MESH:D002769	NA
MESH:D014412	NA
MESH:D006469	hemoptysis
MESH:D001247	asthenia
MESH:C537017	KD
MESH:D002177	candidiasis
MESH:D001847	bone disease
MESH:D065309	publication bias
MESH:C531821	bacteraemia
MESH:D012514	Kaposi's sarcoma
MESH:D058866	osteoporotic
MESH:D014808	NA
MESH:D001925	NA
MESH:D009136	muscular dystrophy
MESH:D006947	hyperkalemia
MESH:D006975	NA
MESH:D008527	medulloblastoma
MESH:D005891	gingivitis
MESH:D005313	NA
MESH:D020345	necrotizing enterocolitis
MESH:D003586	NA
MESH:D050497	stillbirth
MESH:D001988	bronchiolitis
MESH:D002493	neurological complications
MESH:D003921	NA
MESH:D049310	TMD
MESH:C535563	tibia
MESH:D019693	autoimmune hepatitis
MESH:D008108	alcoholic liver disease
MESH:D012206	rhabdomyolysis
MESH:C562757	randomness
MESH:D002100	cachexia
MESH:D001165	arteriovenous
MESH:D011015	aspiration pneumonia
MESH:D006501	hepatic encephalopathy
MESH:D019465	craniofacial
MESH:D016893	NA
MESH:D006432	HH
MESH:D010698	phobia
MESH:D001022	aortic regurgitation
MESH:C562393	cutaneous melanoma
MESH:D020018	social desirability bias
MESH:D018365	NA
MESH:D009084	MPS
MESH:C536041	IA
MESH:D020795	photophobia
MESH:D060050	stable angina
MESH:D001014	aortic aneurysm
MESH:D003556	cystitis
MESH:D010493	pericarditis
MESH:D013125	NA
MESH:D020301	vasospasm
MESH:D013035	spasm
MESH:D016884	APS
MESH:D000072716	cancer pain
MESH:D007738	kyphosis
OMIM:300082	social cognition
MESH:D009381	NA
MESH:D001883	borderline personality disorder
MESH:C564553	ptosis
MESH:D047928	NA
MESH:D014593	inertia
MESH:D001282	atrial flutter
MESH:D012127	NA
MESH:C536089	CMS
MESH:D006345	ventricular septal defect
MESH:D004941	esophagitis
MESH:D020244	middle cerebral artery
MESH:D018476	bradykinesia
MESH:D012771	hemorrhagic shock
MESH:D015831	cartilaginous
MESH:D002446	NA
MESH:D003773	NA
MESH:D008945	mitral valve
MESH:D014949	blunt trauma
MESH:D008654	mesothelioma
MESH:D011552	NA
MESH:C564570	MR
MESH:D013375	NA
MESH:D012021	startle
MESH:D007592	NA
MESH:D006086	graft-versus-host disease
MESH:D006505	chronic infection
MESH:D008310	NA
MESH:D000071079	pulmonary artery
MESH:D005833	NA
MESH:D005734	gangrene
MESH:D020896	hypovolemia
MESH:D006327	heart block
MESH:D002291	NA
MESH:D017379	left ventricular hypertrophy
MESH:D001986	bronchospasm
MESH:D003288	bruising
MESH:D019694	NA
MESH:D011030	NA
MESH:D002972	cleft palate
MESH:D013276	gastric ulcer
MESH:D013736	NA
MESH:D020144	vasculopathy
MESH:D004751	enteritis
MESH:D012678	neuropathic
MESH:C566527	structural abnormalities
MESH:D002575	cervical carcinoma
MESH:D016459	NA
MESH:D055652	GPS
MESH:D015047	NA
MESH:C563384	conduct disorder
MESH:D001018	NA
MESH:D005764	gastroesophageal reflux disease
MESH:D058540	AIC
MESH:D005831	NA
MESH:D011602	NA
MESH:C538273	enteropathy
MESH:D018352	coronavirus disease
MESH:D033461	hyperuricemia
MESH:D013924	NA
MESH:D012019	RSD
MESH:D005317	intrauterine growth retardation
MESH:D002609	CHS
MESH:D006969	NA
MESH:D002032	bulimia nervosa
MESH:D007744	NA
MESH:C538365	retinitis pigmentosa
MESH:D007024	orthostatic hypotension
MESH:C538424	HI
MESH:D054537	atrioventricular
MESH:C562924	DDD
MESH:D009104	NA
MESH:D049950	primary hyperparathyroidism
MESH:D010554	personality disorders
MESH:D010272	parasitism
MESH:C567300	fairness
MESH:D007154	immune dysfunction
MESH:D009220	myositis
MESH:D000152	acne
MESH:D001650	NA
MESH:D042882	gallstones
MESH:D001254	astrocytoma
MESH:D000550	amblyopia
MESH:D006042	goiter
MESH:D010259	CIP
MESH:D010033	NA
MESH:D054143	systolic heart failure
MESH:D057072	intra-articular
MESH:D002278	NA
MESH:D006930	hyperalgesia
MESH:C536391	FMD
MESH:C535887	LAD
MESH:D012162	retinal degeneration
MESH:C537881	LCD
MESH:D004932	NA
MESH:C563010	neutrophilia
MESH:D000068116	dysphoria
MESH:D041781	obstructive jaundice
MESH:D008268	NA
MESH:D001342	autonomic dysfunction
MESH:D015508	nasal obstruction
MESH:D008209	lymphedema
MESH:C536311	PSD
MESH:D016905	NA
MESH:D054549	ABS
OMIM:603663	mental health disorders
MESH:D016534	cardiac output
MESH:D006938	hypercholesterolemic
MESH:D010661	HPA
MESH:D003929	diabetic neuropathy
MESH:D006561	NA
MESH:D014555	NA
MESH:D004409	dyskinesia
MESH:D008105	primary biliary cirrhosis
MESH:D002137	calculus
MESH:D018410	bacterial pneumonia
MESH:D013280	stomatitis
MESH:D004653	empyema
MESH:D053040	nephrolithiasis
MESH:D014402	tuberous sclerosis
MESH:D018223	FS
MESH:D009386	neoplastic disease
MESH:D019851	hypercoagulability
MESH:D065626	non-alcoholic fatty liver disease
MESH:D003316	corneal
MESH:D010911	NA
MESH:D015464	chronic myeloid leukemia
MESH:D007416	NA
MESH:D008479	NA
MESH:D014262	tricuspid regurgitation
MESH:D013130	spinal stenosis
MESH:D010608	sore throat
MESH:D018633	atresia
MESH:D004700	endocrine disorders
MESH:D020141	haemostasis
MESH:D005264	NA
MESH:D018512	parasitemia
MESH:D002349	carpal tunnel syndrome
MESH:D008224	follicular lymphoma
MESH:D010437	NA
MESH:D011236	prediabetes
MESH:D060725	tips
MESH:D019106	postoperative bleeding
MESH:D006083	NA
MESH:D003108	NA
MESH:D002532	NA
MESH:C536677	SVD
MESH:D009846	oliguria
MESH:D052878	urolithiasis
MESH:D016908	NA
MESH:D005234	fatty liver disease
MESH:D008577	meningioma
MESH:D014950	NA
MESH:D005242	NA
MESH:D008590	meningoencephalitis
MESH:D011085	polycystic ovary syndrome
MESH:D006506	NA
MESH:D004066	hepatobiliary
MESH:D017495	hyperpigmentation
MESH:D007246	NA
MESH:D001929	cerebral edema
MESH:D002472	NA
MESH:D007410	NA
MESH:D009497	NA
MESH:D003882	dermatomyositis
MESH:D015794	TCD
MESH:D011141	polyuria
MESH:D000755	NA
MESH:D018358	neuroendocrine
MESH:D000077273	papillary thyroid carcinoma
MESH:D014123	toxoplasmosis
MESH:D000379	agoraphobia
MESH:C538167	IVA
MESH:D009373	embryonic
MESH:D012120	acute respiratory syndrome
MESH:D014526	urothelial carcinoma
MESH:D006968	NA
MESH:D006467	hemophilia
MESH:C564683	MAT
MESH:D013117	NA
MESH:D017086	beta-thalassemia
MESH:D000068079	motor dysfunction
MESH:D008946	mitral stenosis
MESH:D014029	NA
MESH:D018290	cervical intraepithelial neoplasia
MESH:D016883	diabetic ketoacidosis
MESH:D009041	motion abnormalities
MESH:D023921	coronary artery stenosis
MESH:D006311	NA
MESH:D017545	NA
MESH:C574275	ECD
MESH:D019048	intraepithelial neoplasia
MESH:D019958	behavioral deficits
MESH:D018798	iron deficiency anemia
MESH:D000799	angioedema
MESH:D009360	NA
MESH:C564794	SL
MESH:D011843	radiculopathy
MESH:D001528	Behcet's disease
MESH:D013971	thyrotoxicosis
MESH:D007571	jaw
MESH:D004828	NA
MESH:D002822	choriocarcinoma
MESH:D010020	osteonecrosis
MESH:D017114	acute liver failure
MESH:D004108	NA
MESH:D006069	gonorrhea
MESH:D009902	optic neuritis
MESH:D007634	keratitis
MESH:D000080343	MG
MESH:D013616	sinus tachycardia
MESH:D018496	hyperoxia
MESH:D001251	astigmatism
MESH:D002690	NA
MESH:D019586	intracranial hypertension
MESH:D002051	Burkitt's lymphoma
MESH:D012811	sigmoid colon
MESH:D014948	NA
MESH:D008413	mastitis
MESH:D066087	neonatal death
MESH:D005117	cardiac complications
MESH:D000072861	social phobia
MESH:D006552	inguinal hernia
MESH:D008232	lymphoproliferative disorders
MESH:D004823	epididymis
MESH:D013724	teratoma
